Student_ID,Student_Name,Parent_Email,Parent_Phone,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,Total_Classes,Total_Attended,Attendance_Percentage
SA001,Aditi Verma,aditiverma_parent@gmail.com,9093125558,0,4,11,5,2,16,120,38,31.67
SA002,Meera Iyer,meeraiyer_parent@gmail.com,9221778383,11,11,6,15,20,3,120,66,55.0
SA003,Nisha Singh,nishasingh_parent@gmail.com,9366314827,18,10,20,1,8,5,120,62,51.67
SA004,Meera Nair,meeranair_parent@gmail.com,9610619225,13,20,20,8,15,8,120,84,70.0
SA005,Sneha Patel,snehapatel_parent@gmail.com,9787306280,10,8,18,6,12,20,120,74,61.67
SA006,Rohan Sharma,rohansharma_parent@gmail.com,9172697629,4,3,18,3,9,16,120,53,44.17
SA007,Nisha Kumar,nishakumar_parent@gmail.com,9188312284,8,17,11,20,5,18,120,79,65.83
SA008,Aarav Nair,aaravnair_parent@gmail.com,9661570157,4,19,13,18,3,20,120,77,64.17
SA009,Sai Iyer,saiiyer_parent@gmail.com,9543514429,3,8,17,3,20,9,120,60,50.0
SA010,Meera Nair,meeranair_parent@gmail.com,9813123382,11,10,11,4,5,20,120,61,50.83
SA011,Pooja Gupta,poojagupta_parent@gmail.com,9590950894,5,10,12,3,4,16,120,50,41.67
SA012,Rohan Verma,rohanverma_parent@gmail.com,9973048483,14,16,7,5,3,5,120,50,41.67
SA013,Pooja Kumar,poojakumar_parent@gmail.com,9094741135,20,2,8,12,3,19,120,64,53.33
SA014,Krishna Kumar,krishnakumar_parent@gmail.com,9919505303,19,6,4,4,12,3,120,48,40.0
SA015,Sai Verma,saiverma_parent@gmail.com,9857303789,4,13,3,19,10,17,120,66,55.0
SA016,Aryan Verma,22311A1267@it.sreenidhi.edu.in,9844888872,4,16,2,2,3,2,120,29,24.17
SA017,Rohan Patel,rohanpatel_parent@gmail.com,9028548231,2,12,7,19,19,6,120,65,54.17
SA018,Kavya Singh,kavyasingh_parent@gmail.com,9550368384,20,0,18,18,9,14,120,79,65.83
SA019,Aryan Kumar,aryankumar_parent@gmail.com,9914692479,1,14,15,15,4,5,120,54,45.0
SA020,Nisha Gupta,nishagupta_parent@gmail.com,9934373524,16,11,7,20,19,10,120,83,69.17
SA021,Rohan Iyer,rohaniyer_parent@gmail.com,9801870768,7,7,11,1,19,8,120,53,44.17
SA022,Aryan Sharma,aryansharma_parent@gmail.com,9948443128,0,18,15,11,15,2,120,61,50.83
SA023,Saanvi Reddy,saanvireddy_parent@gmail.com,9897860394,20,2,16,8,15,8,120,69,57.5
SA024,Saanvi Nair,saanvinair_parent@gmail.com,9844932320,15,16,17,7,15,0,120,70,58.33
SA025,Sneha Kumar,snehakumar_parent@gmail.com,9250712410,8,0,18,4,7,19,120,56,46.67
SA026,Nisha Nair,nishanair_parent@gmail.com,9411545052,9,19,1,16,7,12,120,64,53.33
SA027,Sai Rao,sairao_parent@gmail.com,9193225356,3,12,4,20,9,13,120,61,50.83
SA028,Nisha Verma,nishaverma_parent@gmail.com,9672484378,0,0,4,17,2,1,120,24,20.0
SA029,Aarav Kumar,aaravkumar_parent@gmail.com,9993679430,19,11,10,19,14,11,120,84,70.0
SA030,Aditi Reddy,aditireddy_parent@gmail.com,9894568009,8,15,1,16,10,14,120,64,53.33
SA031,Saanvi Singh,saanvisingh_parent@gmail.com,9928517855,9,4,12,1,4,13,120,43,35.83
SA032,Aditya Gupta,adityagupta_parent@gmail.com,9093977704,19,0,13,17,19,18,120,86,71.67
SA033,Nisha Sharma,nishasharma_parent@gmail.com,9248638057,14,14,16,8,16,8,120,76,63.33
SA034,Krishna Reddy,krishnareddy_parent@gmail.com,9418136121,18,1,11,1,5,7,120,43,35.83
SA035,Isha Verma,ishaverma_parent@gmail.com,9357994077,20,4,7,0,13,18,120,62,51.67
SA036,Ananya Nair,ananyanair_parent@gmail.com,9270700995,20,15,6,10,7,5,120,63,52.5
