Student_ID,Student_Name,Parent_Email,Parent_Phone,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,Total_Classes,Total_Attended,Attendance_Percentage
SB001,Isha Patel,ishapatel_parent@gmail.com,9095994248,19,19,14,9,8,19,120,88,73.33
SB002,Meera Kumar,meerakumar_parent@gmail.com,9833436533,4,4,3,17,5,15,120,48,40.0
SB003,Kavya Verma,kavyaverma_parent@gmail.com,9237654264,0,16,18,13,16,11,120,74,61.67
SB004,Isha Rao,isharao_parent@gmail.com,9144294239,2,16,5,14,20,4,120,61,50.83
SB005,Vihaan Singh,vihaansingh_parent@gmail.com,9537641996,11,12,7,7,17,3,120,57,47.5
SB006,Krishna Kumar,krishnakumar_parent@gmail.com,9477611479,20,7,4,14,17,2,120,64,53.33
SB007,Vihaan Rao,vihaanrao_parent@gmail.com,9733918692,18,0,7,2,14,8,120,49,40.83
SB008,Isha Iyer,ishaiyer_parent@gmail.com,9962267661,1,5,12,15,11,8,120,52,43.33
SB009,Kavya Gupta,kavyagupta_parent@gmail.com,9272872590,1,5,10,7,3,11,120,37,30.83
SB010,Aryan Iyer,aryaniyer_parent@gmail.com,9251528720,9,19,6,14,15,2,120,65,54.17
SB011,Isha Nair,ishanair_parent@gmail.com,9489799481,20,16,3,8,2,13,120,62,51.67
SB012,Aditya Verma,adityaverma_parent@gmail.com,9250631615,10,13,6,14,4,5,120,52,43.33
SB013,Ananya Reddy,ananyareddy_parent@gmail.com,9795751434,17,0,14,11,13,20,120,75,62.5
SB014,Rohan Patel,rohanpatel_parent@gmail.com,9919745327,20,5,20,1,9,2,120,57,47.5
SB015,Aarav Verma,aaravverma_parent@gmail.com,9992791006,4,18,14,8,5,9,120,58,48.33
SB016,Krishna Gupta,krishnagupta_parent@gmail.com,9923031751,2,6,3,15,6,5,120,37,30.83
SB017,Diya Rao,diyarao_parent@gmail.com,9433786433,5,15,6,5,18,16,120,65,54.17
SB018,Nisha Rao,nisharao_parent@gmail.com,9180828403,5,3,6,6,3,19,120,42,35.0
SB019,Aryan Kumar,aryankumar_parent@gmail.com,9570458938,19,10,14,8,15,6,120,72,60.0
SB020,Pooja Reddy,poojareddy_parent@gmail.com,9634014512,19,13,19,4,11,4,120,70,58.33
SB021,Aditi Singh,aditisingh_parent@gmail.com,9335662762,2,5,13,15,12,4,120,51,42.5
SB022,Vihaan Patel,vihaanpatel_parent@gmail.com,9004888832,7,3,14,4,1,17,120,46,38.33
SB023,Rohan Singh,rohansingh_parent@gmail.com,9496881082,7,19,12,5,11,8,120,62,51.67
SB024,Rohan Iyer,rohaniyer_parent@gmail.com,9901059857,17,2,8,19,0,8,120,54,45.0
SB025,Ananya Verma,ananyaverma_parent@gmail.com,9570919379,19,7,15,15,11,18,120,85,70.83
SB026,Pooja Verma,poojaverma_parent@gmail.com,9963623830,18,20,8,10,1,17,120,74,61.67
SB027,Ananya Sharma,ananyasharma_parent@gmail.com,9337702657,12,17,13,17,8,18,120,85,70.83
SB028,Diya Verma,diyaverma_parent@gmail.com,9414005924,3,9,4,0,16,15,120,47,39.17
SB029,Ananya Kumar,ananyakumar_parent@gmail.com,9104515755,0,18,0,13,18,10,120,59,49.17
SB030,Arjun Verma,arjunverma_parent@gmail.com,9077806238,15,4,1,7,13,12,120,52,43.33
SB031,Vihaan Singh,vihaansingh_parent@gmail.com,9471357387,9,11,17,14,13,18,120,82,68.33
SB032,Vivaan Verma,vivaanverma_parent@gmail.com,9884553743,19,7,13,7,12,13,120,71,59.17
SB033,Aarav Reddy,aaravreddy_parent@gmail.com,9339271032,12,6,6,1,11,14,120,50,41.67
SB034,Arjun Patel,arjunpatel_parent@gmail.com,9156878078,12,9,3,20,6,10,120,60,50.0
SB035,Aditya Reddy,adityareddy_parent@gmail.com,9773073481,3,6,7,16,1,6,120,39,32.5
SB036,Aarav Kumar,aaravkumar_parent@gmail.com,9948819799,1,13,15,11,16,19,120,75,62.5
SB037,Aditi Verma,aditiverma_parent@gmail.com,9171361840,19,7,4,15,1,11,120,57,47.5
SB038,Isha Nair,ishanair_parent@gmail.com,9429773118,0,0,19,19,18,20,120,76,63.33
SB039,Nisha Verma,nishaverma_parent@gmail.com,9634958637,12,15,18,2,17,1,120,65,54.17
SB040,Ananya Singh,ananyasingh_parent@gmail.com,9298170795,20,7,18,7,8,6,120,66,55.0
SB041,Pooja Reddy,poojareddy_parent@gmail.com,9907506668,15,17,9,12,12,9,120,74,61.67
SB042,Ananya Sharma,ananyasharma_parent@gmail.com,9738390440,3,19,1,3,11,10,120,47,39.17
SB043,Aarav Reddy,aaravreddy_parent@gmail.com,9879196312,8,11,18,18,3,18,120,76,63.33
SB044,Aditi Kumar,aditikumar_parent@gmail.com,9377788386,7,3,9,14,10,1,120,44,36.67
SB045,Isha Kumar,ishakumar_parent@gmail.com,9241749572,18,7,6,16,0,17,120,64,53.33
SB046,Rohan Kumar,rohankumar_parent@gmail.com,9672248709,11,5,6,8,13,20,120,63,52.5
SB047,Arjun Gupta,arjungupta_parent@gmail.com,9074776679,8,12,12,16,17,9,120,74,61.67
SB048,Rohan Rao,rohanrao_parent@gmail.com,9940482723,20,7,18,17,12,20,120,94,78.33
SB049,Krishna Singh,krishnasingh_parent@gmail.com,9865003254,16,16,17,5,15,12,120,81,67.5
SB050,Nisha Iyer,nishaiyer_parent@gmail.com,9087881876,11,17,17,10,8,10,120,73,60.83
SB051,Arjun Sharma,arjunsharma_parent@gmail.com,9150340467,10,15,19,13,20,4,120,81,67.5
SB052,Pooja Rao,poojarao_parent@gmail.com,9133274178,4,5,3,17,19,19,120,67,55.83
SB053,Aarav Gupta,aaravgupta_parent@gmail.com,9350592668,5,16,2,2,1,0,120,26,21.67
SB054,Rohan Patel,rohanpatel_parent@gmail.com,9071362146,14,14,2,0,1,2,120,33,27.5
SB055,Meera Kumar,meerakumar_parent@gmail.com,9886140231,13,9,1,17,9,7,120,56,46.67
