Student_ID,Student_Name,Parent_Email,Parent_Phone,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,Total_Classes,Total_Attended,Attendance_Percentage
SC001,Krishna Nair,krishnanair_parent@gmail.com,9655260270,18,8,13,9,19,14,120,81,67.5
SC002,Pooja Kumar,poojakumar_parent@gmail.com,9027357495,4,7,3,8,0,0,120,22,18.33
SC003,Vihaan Reddy,vihaanreddy_parent@gmail.com,9147800205,5,10,18,10,2,14,120,59,49.17
SC004,Rohan Singh,rohansingh_parent@gmail.com,9574487610,13,16,10,20,17,2,120,78,65.0
SC005,Arjun Nair,arjunnair_parent@gmail.com,9365998666,14,13,4,18,19,18,120,86,71.67
SC006,Aarav Reddy,aaravreddy_parent@gmail.com,9254972126,18,11,11,15,12,20,120,87,72.5
SC007,Rohan Sharma,rohansharma_parent@gmail.com,9484194219,6,17,2,4,16,2,120,47,39.17
SC008,Kavya Patel,kavyapatel_parent@gmail.com,9460469049,2,5,11,6,15,7,120,46,38.33
SC009,Rohan Kumar,rohankumar_parent@gmail.com,9525315849,2,16,17,7,18,4,120,64,53.33
SC010,Rahul Kumar,rahulkumar_parent@gmail.com,9800485522,4,5,5,1,9,7,120,31,25.83
SC011,Vihaan Verma,vihaanverma_parent@gmail.com,9405025084,18,2,10,4,5,14,120,53,44.17
SC012,Aarav Reddy,aaravreddy_parent@gmail.com,9346774447,12,14,9,19,15,4,120,73,60.83
SC013,Pooja Gupta,poojagupta_parent@gmail.com,9305817395,10,9,6,3,3,5,120,36,30.0
SC014,Krishna Nair,krishnanair_parent@gmail.com,9656177258,4,2,13,14,0,20,120,53,44.17
SC015,Saanvi Patel,saanvipatel_parent@gmail.com,9616919429,16,10,0,18,7,10,120,61,50.83
SC016,Krishna Singh,krishnasingh_parent@gmail.com,9131354423,2,10,9,16,19,15,120,71,59.17
SC017,Sneha Reddy,snehareddy_parent@gmail.com,9334453734,1,12,20,0,14,8,120,55,45.83
SC018,Meera Sharma,meerasharma_parent@gmail.com,9637739669,13,14,8,11,13,2,120,61,50.83
SC019,Kavya Reddy,kavyareddy_parent@gmail.com,9519064326,10,20,13,9,19,5,120,76,63.33
SC020,Aryan Nair,aryannair_parent@gmail.com,9049644965,8,1,8,5,13,0,120,35,29.17
SC021,Vivaan Reddy,vivaanreddy_parent@gmail.com,9842132966,16,1,3,13,5,15,120,53,44.17
SC022,Vihaan Gupta,vihaangupta_parent@gmail.com,9950663908,3,16,11,20,18,20,120,88,73.33
SC023,Rahul Gupta,rahulgupta_parent@gmail.com,9904186248,10,2,4,20,0,2,120,38,31.67
SC024,Saanvi Sharma,saanvisharma_parent@gmail.com,9319745348,13,16,1,1,15,13,120,59,49.17
SC025,Saanvi Verma,saanviverma_parent@gmail.com,9161081989,4,7,6,17,20,16,120,70,58.33
SC026,Aditya Patel,adityapatel_parent@gmail.com,9859213909,12,14,7,4,6,8,120,51,42.5
SC027,Rohan Verma,rohanverma_parent@gmail.com,9821164249,13,15,20,4,0,2,120,54,45.0
SC028,Arjun Rao,arjunrao_parent@gmail.com,9229659836,3,18,5,4,12,15,120,57,47.5
SC029,Vihaan Gupta,vihaangupta_parent@gmail.com,9813272272,18,15,15,3,3,18,120,72,60.0
SC030,Arjun Singh,arjunsingh_parent@gmail.com,9173119645,4,8,15,14,12,16,120,69,57.5
SC031,Aditi Nair,aditinair_parent@gmail.com,9388540482,2,12,16,11,9,13,120,63,52.5
SC032,Arjun Iyer,arjuniyer_parent@gmail.com,9863715215,7,15,18,3,6,19,120,68,56.67
SC033,Pooja Nair,poojanair_parent@gmail.com,9765128683,10,8,7,7,10,0,120,42,35.0
SC034,Aditya Singh,adityasingh_parent@gmail.com,9723956534,4,6,15,19,20,17,120,81,67.5
SC035,Nisha Iyer,nishaiyer_parent@gmail.com,9692759526,4,16,13,17,2,6,120,58,48.33
SC036,Kavya Kumar,kavyakumar_parent@gmail.com,9738077855,16,15,8,15,12,20,120,86,71.67
SC037,Saanvi Nair,saanvinair_parent@gmail.com,9227460686,19,14,2,11,5,12,120,63,52.5
SC038,Saanvi Sharma,saanvisharma_parent@gmail.com,9660828136,17,16,20,19,18,16,120,106,88.33
SC039,Aditya Patel,adityapatel_parent@gmail.com,9050418008,20,11,19,12,2,18,120,82,68.33
