Student_ID,Student_Name,Parent_Email,Parent_Phone,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,Total_Classes,Total_Attended,Attendance_Percentage
SD001,Aryan Patel,aryanpatel_parent@gmail.com,9776424504,8,8,18,13,15,15,120,77,64.17
SD002,Arjun Kumar,arjunkumar_parent@gmail.com,9844973252,13,14,15,6,17,3,120,68,56.67
SD003,Sneha Patel,snehapatel_parent@gmail.com,9182998720,14,13,9,11,14,19,120,80,66.67
SD004,Aryan Nair,aryannair_parent@gmail.com,9355206902,15,10,8,16,8,14,120,71,59.17
SD005,Saanvi Patel,saanvipatel_parent@gmail.com,9422185010,11,4,15,13,7,16,120,66,55.0
SD006,Pooja Gupta,poojagupta_parent@gmail.com,9066005860,12,5,10,4,19,4,120,54,45.0
SD007,Meera Reddy,meerareddy_parent@gmail.com,9896550329,12,12,12,15,14,17,120,82,68.33
SD008,Ananya Kumar,ananyakumar_parent@gmail.com,9006520715,16,6,19,16,12,14,120,83,69.17
SD009,Ananya Reddy,ananyareddy_parent@gmail.com,9332787878,2,18,13,3,18,10,120,64,53.33
SD010,Ananya Rao,ananyarao_parent@gmail.com,9964244467,6,20,3,14,11,4,120,58,48.33
SD011,Aditi Iyer,aditiiyer_parent@gmail.com,9348854074,9,12,15,19,17,11,120,83,69.17
SD012,Isha Sharma,ishasharma_parent@gmail.com,9748323047,3,1,18,19,7,4,120,52,43.33
SD013,Aditi Singh,aditisingh_parent@gmail.com,9160173275,11,7,9,2,8,8,120,45,37.5
SD014,Meera Gupta,meeragupta_parent@gmail.com,9962049899,12,17,10,4,4,19,120,66,55.0
SD015,Vivaan Reddy,vivaanreddy_parent@gmail.com,9068861767,12,3,19,3,16,15,120,68,56.67
SD016,Aryan Iyer,aryaniyer_parent@gmail.com,9280276775,6,13,10,12,9,1,120,51,42.5
SD017,Arjun Singh,arjunsingh_parent@gmail.com,9384013263,1,20,19,10,8,3,120,61,50.83
SD018,Isha Gupta,ishagupta_parent@gmail.com,9934169717,10,7,18,16,1,17,120,69,57.5
SD019,Meera Sharma,meerasharma_parent@gmail.com,9273026300,14,11,13,12,8,15,120,73,60.83
SD020,Isha Gupta,ishagupta_parent@gmail.com,9707024330,0,8,6,13,9,6,120,42,35.0
SD021,Arjun Iyer,arjuniyer_parent@gmail.com,9452456004,10,16,17,16,3,3,120,65,54.17
SD022,Aditi Singh,aditisingh_parent@gmail.com,9930579126,19,12,19,15,7,17,120,89,74.17
SD023,Ananya Gupta,ananyagupta_parent@gmail.com,9794778646,11,17,5,11,19,7,120,70,58.33
SD024,Aditi Iyer,aditiiyer_parent@gmail.com,9908372562,1,12,1,10,11,12,120,47,39.17
SD025,Rahul Nair,rahulnair_parent@gmail.com,9080678002,12,7,7,8,11,14,120,59,49.17
SD026,Sneha Reddy,snehareddy_parent@gmail.com,9451108974,3,7,9,6,18,17,120,60,50.0
SD027,Saanvi Singh,saanvisingh_parent@gmail.com,9038638062,12,4,17,12,15,14,120,74,61.67
SD028,Pooja Reddy,poojareddy_parent@gmail.com,9421344523,9,19,15,11,16,13,120,83,69.17
SD029,Vivaan Kumar,vivaankumar_parent@gmail.com,9679771807,15,17,11,16,6,19,120,84,70.0
SD030,Aditya Gupta,adityagupta_parent@gmail.com,9552604751,17,20,6,12,7,16,120,78,65.0
SD031,Kavya Sharma,kavyasharma_parent@gmail.com,9698408018,16,19,12,5,17,9,120,78,65.0
SD032,Kavya Sharma,kavyasharma_parent@gmail.com,9309366221,19,2,1,14,18,3,120,57,47.5
SD033,Sai Iyer,saiiyer_parent@gmail.com,9098791748,5,11,1,0,14,6,120,37,30.83
SD034,Nisha Kumar,nishakumar_parent@gmail.com,9985604448,2,8,19,7,20,3,120,59,49.17
SD035,Arjun Sharma,arjunsharma_parent@gmail.com,9686968049,19,6,4,1,15,8,120,53,44.17
SD036,Rohan Nair,rohannair_parent@gmail.com,9717859633,9,5,13,20,13,15,120,75,62.5
SD037,Ananya Singh,ananyasingh_parent@gmail.com,9629254765,20,18,18,8,9,19,120,92,76.67
SD038,Nisha Singh,nishasingh_parent@gmail.com,9040738567,3,6,9,18,13,2,120,51,42.5
SD039,Arjun Nair,arjunnair_parent@gmail.com,9571645825,2,2,1,19,7,12,120,43,35.83
SD040,Aditya Reddy,adityareddy_parent@gmail.com,9756919656,19,6,18,15,6,14,120,78,65.0
SD041,Aryan Verma,aryanverma_parent@gmail.com,9362831895,14,16,14,17,20,8,120,89,74.17
SD042,Aditya Reddy,adityareddy_parent@gmail.com,9662387100,14,12,1,9,2,4,120,42,35.0
SD043,Sneha Reddy,snehareddy_parent@gmail.com,9295440818,7,16,3,12,13,19,120,70,58.33
SD044,Vivaan Singh,vivaansingh_parent@gmail.com,9595448953,16,12,5,16,19,12,120,80,66.67
SD045,Aryan Nair,aryannair_parent@gmail.com,9239699557,6,7,9,9,2,12,120,45,37.5
SD046,Nisha Patel,nishapatel_parent@gmail.com,9036259929,17,4,13,19,14,8,120,75,62.5
SD047,Arjun Nair,arjunnair_parent@gmail.com,9376170790,12,10,16,2,19,16,120,75,62.5
SD048,Aditya Reddy,adityareddy_parent@gmail.com,9025754907,2,17,14,11,8,20,120,72,60.0
SD049,Ananya Verma,ananyaverma_parent@gmail.com,9078401465,8,9,1,20,9,7,120,54,45.0
SD050,Kavya Sharma,kavyasharma_parent@gmail.com,9872318931,8,8,4,17,2,17,120,56,46.67
SD051,Meera Verma,meeraverma_parent@gmail.com,9567338807,5,12,12,7,8,3,120,47,39.17
SD052,Pooja Nair,poojanair_parent@gmail.com,9404271159,6,2,0,18,19,20,120,65,54.17
SD053,Rahul Kumar,rahulkumar_parent@gmail.com,9482601903,17,8,5,3,5,7,120,45,37.5
SD054,Aditi Sharma,aditisharma_parent@gmail.com,9635233373,2,1,18,4,2,17,120,44,36.67
SD055,Vihaan Reddy,vihaanreddy_parent@gmail.com,9267552706,7,15,16,16,12,12,120,78,65.0
SD056,Nisha Kumar,nishakumar_parent@gmail.com,9117379972,14,18,12,7,9,8,120,68,56.67
SD057,Meera Verma,meeraverma_parent@gmail.com,9236682975,5,15,7,10,9,17,120,63,52.5
SD058,Pooja Sharma,poojasharma_parent@gmail.com,9951883067,16,15,0,14,5,18,120,68,56.67
SD059,Arjun Sharma,arjunsharma_parent@gmail.com,9003255699,20,15,10,1,11,6,120,63,52.5
SD060,Pooja Sharma,poojasharma_parent@gmail.com,9969714108,20,3,10,17,11,6,120,67,55.83
